label,campaign_id,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
0,camp_feed,0.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,,2.0,2.0,467,423,468,38027,303,12,2056,569,2,,2909,61866,1814,0,11131,84690,9,,886,1,,5,12,74683,,86506
0,camp_feed,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,8.0,,0.0,1.0,1376,356,42068,74900,285,14,11229,247,0,54484,4543,72366,2623,7,6490,51433,7,5389,1085,0,60619,,0,82845,81,85237
0,camp_feed,0.0,2.0,,4.0,7.0,0.0,0.0,1.0,3.0,2.0,,0.0,1.0,237,,95098,93867,151,5,3490,86,2,,3949,81592,2636,9,13566,,1,4502,231,,24492,15,14,12633,56,38299
0,camp_feed,5.0,1.0,,4.0,0.0,1.0,0.0,2.0,2.0,8.0,3.0,5.0,1.0,302,331,13789,91066,204,1,454,64,2,5577,2144,,572,16,11211,5181,7,1703,361,,17170,15,9,,,96061
0,camp_feed,1.0,2.0,1.0,2.0,1.0,,,2.0,5.0,3.0,0.0,,1.0,366,366,44462,56762,264,11,11429,,1,14469,5540,79146,,13,12897,,,4524,96,0,68854,1,13,59723,47,66973
0,camp_feed,2.0,,1.0,1.0,6.0,1.0,9.0,0.0,1.0,7.0,5.0,6.0,,564,,66435,39743,83,11,347,597,0,88247,2300,,2130,4,5447,13963,0,1454,1873,0,6070,4,8,64732,63,662
1,camp_feed,1.0,3.0,1.0,4.0,,0.0,,,8.0,0.0,4.0,2.0,2.0,1300,245,83931,74662,46,22,3478,605,,65673,755,16398,3098,24,,94850,9,2853,596,2,81227,17,13,61912,1,82165
0,camp_feed,7.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,5.0,,,1066,538,40022,67788,192,3,3393,,1,21006,4937,43763,2692,,8054,,8,5370,872,,,3,7,83858,46,11008
0,camp_feed,3.0,1.0,4.0,5.0,0.0,1.0,4.0,2.0,0.0,2.0,,3.0,0.0,550,134,53654,2678,205,3,1317,220,1,40347,5285,35398,2317,17,7719,43722,2,,71,3,77477,8,,80775,35,70910
0,camp_feed,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,6.0,3.0,2.0,0.0,1.0,327,561,14982,59486,65,4,4925,496,0,61292,5394,39576,2445,6,2126,62268,2,4532,1300,,,2,1,4623,44,87962
0,camp_feed,0.0,1.0,0.0,2.0,5.0,8.0,3.0,1.0,2.0,0.0,13.0,2.0,0.0,517,278,22758,12752,14,10,5903,204,2,40646,1389,89527,2827,15,2749,,2,1553,2019,0,42624,1,10,55629,56,64354
0,camp_feed,0.0,0.0,5.0,,4.0,0.0,5.0,,1.0,,4.0,0.0,0.0,1172,38,43412,28305,105,5,2009,429,,92858,1302,25242,1619,14,,53950,4,319,1809,,10005,10,7,65325,14,11115
0,camp_feed,1.0,0.0,,3.0,1.0,,0.0,1.0,,3.0,2.0,1.0,1.0,48,374,,82380,149,7,5573,602,2,15013,1792,,,7,14823,54697,7,,154,1,33789,8,1,33148,29,
0,camp_feed,,,5.0,0.0,1.0,3.0,0.0,,,,2.0,4.0,,1172,30,74355,339,69,2,7895,417,1,89866,2850,6210,780,9,,2115,4,1971,1218,3,14509,4,10,93264,,40705
0,camp_feed,,3.0,0.0,0.0,0.0,,3.0,0.0,3.0,0.0,5.0,4.0,,225,429,7309,90250,64,12,7107,,0,15974,1838,27284,863,8,10445,,6,3630,259,,,5,1,51861,26,76191
0,camp_feed,4.0,0.0,0.0,2.0,6.0,2.0,2.0,0.0,2.0,1.0,0.0,5.0,0.0,1209,211,65049,,156,18,8057,,2,81267,4962,45498,1660,,9668,2854,8,772,1932,1,,10,2,63715,44,29058
0,camp_feed,4.0,1.0,1.0,0.0,9.0,8.0,0.0,10.0,4.0,,3.0,6.0,2.0,,146,66448,,,13,9963,10,2,32744,4273,38543,2283,23,3151,29828,1,4711,,2,5257,6,12,,98,
0,camp_feed,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,,0.0,0.0,0.0,1.0,1288,81,90418,55801,15,11,6422,346,0,62263,3842,92154,13,7,1473,99,1,,989,3,32050,4,10,426,60,
0,camp_feed,,,0.0,2.0,2.0,,4.0,0.0,2.0,4.0,4.0,6.0,,45,534,14628,95390,29,11,965,342,1,20783,1504,26744,1381,25,3380,61092,1,1635,,3,95096,1,14,27951,40,92504
0,camp_feed,1.0,5.0,,,3.0,0.0,5.0,0.0,3.0,4.0,1.0,0.0,5.0,187,461,8194,51135,120,0,3794,356,0,24318,991,52688,1125,11,9015,73019,4,4984,140,2,67887,17,8,,63,84015
0,camp_feed,1.0,1.0,,16.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,825,108,24526,15014,216,8,1054,33,2,72307,2904,1786,1031,,11836,70340,5,3481,1006,1,87141,,13,64795,,7009
0,camp_feed,0.0,1.0,2.0,,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,8.0,853,31,99740,71213,184,7,9593,572,1,75447,5143,47971,1184,8,9283,20744,,2680,505,,49960,10,9,,11,17966
0,camp_feed,,2.0,0.0,0.0,3.0,,1.0,2.0,,3.0,0.0,0.0,2.0,734,406,56061,3769,89,17,3716,511,2,76115,,90987,1834,11,2645,,8,3897,1567,3,,5,10,86420,23,35212
0,camp_feed,,0.0,27.0,3.0,6.0,,0.0,6.0,5.0,0.0,4.0,2.0,1.0,253,193,26122,91541,103,7,12011,156,0,42283,4200,51530,926,22,4851,54167,6,215,199,1,23463,,6,31565,97,31514
0,camp_feed,1.0,,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,4.0,4.0,2.0,255,68,1879,15452,153,5,5506,165,2,54059,2754,57284,1398,3,10322,59588,9,4389,830,0,44818,2,11,51945,0,81676
0,camp_feed,0.0,1.0,8.0,7.0,,,0.0,9.0,0.0,,13.0,4.0,2.0,1054,427,20167,57536,303,18,821,224,2,89797,868,61812,2325,4,6295,60992,8,2126,531,0,66511,14,4,29763,87,97988
0,camp_feed,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,159,405,9055,144,15,14,3195,450,1,32472,3504,,529,26,,81098,8,4770,767,0,39973,15,,34506,32,55501
0,camp_feed,9.0,6.0,0.0,1.0,0.0,3.0,,8.0,9.0,0.0,6.0,,0.0,440,130,67960,49030,191,4,1802,509,,36113,1432,88878,1101,2,5556,,6,1878,2001,3,53171,8,9,19832,61,43733
0,camp_feed,9.0,7.0,1.0,3.0,9.0,3.0,6.0,0.0,2.0,10.0,0.0,0.0,4.0,144,465,60101,80953,0,1,,607,0,27435,5661,70526,1506,6,974,12926,3,1472,1335,2,92113,12,6,76734,,86
0,camp_feed,,2.0,,1.0,9.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,11.0,620,186,,68685,286,8,11505,392,1,68636,1529,64845,1092,12,11488,64533,6,5181,748,3,48332,4,14,49979,,
0,camp_feed,1.0,1.0,2.0,,0.0,,1.0,2.0,,8.0,0.0,5.0,0.0,859,514,,68315,,22,,94,2,48061,599,9354,570,17,6153,82095,4,5458,1751,0,73849,13,9,44913,40,55226
0,camp_feed,0.0,1.0,2.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,,,1053,23,,13679,292,1,9157,100,2,80582,163,5614,56,26,13541,29080,6,5046,2094,1,45634,14,8,59928,43,580
0,camp_feed,0.0,2.0,3.0,0.0,2.0,3.0,0.0,18.0,1.0,0.0,1.0,0.0,2.0,1216,582,59220,89684,75,7,8358,,2,620,3551,55999,106,11,13232,46553,5,5263,2171,3,56030,8,6,70109,78,21358
0,camp_feed,2.0,3.0,5.0,2.0,2.0,0.0,0.0,,,,2.0,1.0,1.0,1133,541,11167,,222,2,6338,245,,,5048,82477,1742,3,1819,23403,3,5091,263,2,39550,10,5,76046,96,50497
0,camp_feed,0.0,1.0,1.0,0.0,0.0,,3.0,0.0,0.0,14.0,1.0,8.0,1.0,204,507,30542,36401,128,23,4210,592,1,52840,4589,2736,269,20,8330,50163,2,986,2132,0,51937,6,12,19518,53,77866
0,camp_feed,0.0,2.0,0.0,5.0,,1.0,,0.0,1.0,7.0,0.0,0.0,,1058,151,92977,88931,261,14,,493,2,59528,1140,28386,,20,1900,97190,6,1211,51,0,51450,15,,67040,89,55617
0,camp_feed,3.0,4.0,5.0,0.0,4.0,,,4.0,1.0,5.0,,1.0,7.0,1260,386,81258,33790,139,19,12029,421,0,69681,,66417,857,5,4597,8622,,2832,,1,73177,16,7,72860,42,46155
0,camp_feed,0.0,1.0,5.0,1.0,,1.0,7.0,8.0,2.0,5.0,1.0,0.0,1.0,1204,249,22102,32897,190,20,2344,596,,16720,3848,34607,985,2,2429,760,6,,679,1,98293,8,0,61415,5,82968
0,camp_feed,2.0,,3.0,3.0,1.0,3.0,,1.0,0.0,0.0,1.0,2.0,0.0,927,317,67982,9215,186,15,3409,568,0,,1272,65229,658,11,,43392,1,2527,1594,2,64717,8,14,98166,20,74287
0,camp_feed,,2.0,6.0,1.0,,2.0,0.0,3.0,4.0,1.0,0.0,0.0,3.0,,293,7537,52533,213,2,6704,538,0,66606,4581,71193,408,23,1337,,,567,,0,59783,4,10,13309,21,46634
0,camp_feed,0.0,2.0,0.0,7.0,,1.0,1.0,14.0,4.0,3.0,2.0,2.0,1.0,295,148,90513,76759,233,3,6505,36,,32087,1868,90981,597,18,9566,35270,0,3551,23,3,69984,,6,41093,101,83251
0,camp_feed,1.0,0.0,3.0,,1.0,3.0,0.0,8.0,5.0,2.0,,11.0,,1163,241,12778,55703,161,,4993,9,1,90861,2675,72350,1532,17,11335,33874,9,,627,2,53702,14,,29859,32,86491
0,camp_feed,,0.0,1.0,3.0,,0.0,0.0,1.0,0.0,5.0,9.0,0.0,,1181,437,,29017,206,20,3365,329,,31092,2202,71308,94,21,,39312,3,3654,837,0,24679,7,,25817,47,48457
0,camp_feed,1.0,3.0,3.0,3.0,,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,667,236,59300,52612,44,,10368,493,0,91691,2126,59241,796,24,,,,2917,1735,2,68577,9,4,,54,
0,camp_feed,0.0,1.0,0.0,1.0,2.0,0.0,6.0,2.0,18.0,0.0,,11.0,1.0,263,286,96049,90536,140,12,6707,393,0,,3002,60329,483,,,,4,,659,0,24505,7,0,13986,67,63632
0,camp_feed,1.0,1.0,0.0,0.0,1.0,,2.0,0.0,,0.0,,1.0,5.0,1241,35,,56088,271,5,6414,395,,91813,4375,13349,488,0,11375,,1,5406,2022,1,44626,13,14,17680,17,72496
0,camp_feed,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,3.0,3.0,,6.0,988,498,72765,28259,287,7,5583,,2,,5311,,697,9,1325,17197,9,3860,1567,3,59345,7,14,80008,,3527
0,camp_feed,6.0,3.0,,,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,523,56,83788,35961,113,,1985,621,1,69479,3679,66171,326,18,12314,56562,8,1384,1020,1,28622,14,,,,71699
0,camp_feed,1.0,0.0,4.0,,,0.0,,0.0,3.0,0.0,2.0,0.0,1.0,,321,4942,59170,,0,11379,579,2,45182,,25336,,10,,10760,7,692,1990,,22044,13,7,51774,94,3573
1,camp_feed,0.0,3.0,2.0,,2.0,1.0,3.0,0.0,0.0,4.0,1.0,,8.0,672,516,81169,,118,8,11540,211,2,17015,2333,96463,2590,23,9984,93258,3,2241,953,2,50623,12,,32191,39,95561
0,camp_feed,11.0,6.0,0.0,1.0,,4.0,,2.0,1.0,2.0,0.0,,5.0,286,238,96630,69213,271,1,,108,0,66120,2856,3413,2610,9,5978,55343,6,5004,1964,1,37660,5,10,2414,53,12123
0,camp_feed,2.0,,0.0,2.0,8.0,7.0,11.0,5.0,0.0,4.0,1.0,6.0,,1319,403,83459,26733,,7,6727,249,,40711,4254,54720,1110,3,11359,28951,2,1214,1339,,92528,1,3,42163,21,15376
0,camp_feed,2.0,2.0,,0.0,5.0,5.0,2.0,4.0,4.0,0.0,1.0,0.0,3.0,700,295,78583,94758,275,,2588,,0,60589,1715,73542,1060,23,1166,76384,3,3245,1947,3,5533,4,1,,94,10424
0,camp_feed,0.0,,3.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,,0.0,,,95,63976,66482,258,14,12500,,2,,4381,88188,1753,21,2313,1174,,3640,1146,0,82289,1,5,89888,66,21743
0,camp_feed,0.0,0.0,,9.0,,8.0,1.0,9.0,8.0,1.0,0.0,0.0,1.0,499,361,34861,46199,280,5,2720,152,1,57586,1289,93613,1304,,1910,7216,6,2102,,0,21020,7,11,57451,51,47629
0,camp_feed,7.0,2.0,2.0,1.0,1.0,6.0,,1.0,,1.0,3.0,1.0,0.0,1069,239,64429,,220,14,988,603,0,,1137,73559,1298,0,1425,11271,7,1736,1355,2,35943,11,11,50182,66,94259
0,camp_feed,,1.0,,0.0,0.0,7.0,1.0,2.0,4.0,0.0,4.0,3.0,0.0,926,559,68058,,120,12,4889,367,0,75727,1830,15052,2375,3,11171,17356,0,3934,1613,2,33194,8,9,67288,20,32965
0,camp_feed,2.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,9.0,4.0,0.0,2.0,1129,167,35431,50413,235,7,12436,397,2,4983,4651,51917,1142,22,7747,,8,4929,1561,2,318,12,3,48091,19,
